path,score,class,static_incoming,config_ref_count,evidence
backend/tests/test_services/test_ckd_rules.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/test_clinical_summary.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/test_document_loader.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/test_embedding.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/test_password_policy.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/test_safety_guardrail.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/test_services/test_text_chunker.py,70,SHARED/INFRA,0,0,runtime_root
build/assets/876ec040af4ae472e932818bce39f20ca0e1e282-qCFI9fKW.png,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
build/assets/charts-hZPl4Q23.js,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
build/assets/f438047691c382addfed5c99dfc97977dea5c831-DlXFtnf9.png,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
build/assets/index-BEzo1rAq.js,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
build/assets/index-VKefrhiU.css,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
build/assets/ui-D7mrWnTK.js,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
build/assets/vendor-hLxha9dG.js,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
build/index.html,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/.DS_Store,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/SKILL.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/architecture-rules.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/backend-dev.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/config-template.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/init_project.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/pm-agent.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/qa-agent.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/rag-interface.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/repo-analyst.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/security-agent.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/security_scan.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/system-architect.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
chaticu-dev-skill/todo-system.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
config.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
datamock/drugInteractions.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
datamock/labData.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
